merges,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,0.03,0.0,0.0001,cosine_warmup,270,72900,14.25053596496582,14.040437698364258,2.656949472617343,2.6419415383089677,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192408_d001ea3c.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192408_d001ea3c.pt,../checkpoints/nBigram/hparams_search/hps_250827_192408_d001ea3c_hparams.json,hps_250827_192408_d001ea3c
10,0.003,0.0,0.0001,cosine_warmup,270,72900,14.306400299072266,14.103891372680664,2.6607069088959916,2.646450684408745,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192147_0a73b00f.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192147_0a73b00f.pt,../checkpoints/nBigram/hparams_search/hps_250827_192147_0a73b00f_hparams.json,hps_250827_192147_0a73b00f
10,0.03,0.2,0.0001,cosine_warmup,270,72900,14.52660083770752,25.051654815673828,2.6760087133562105,3.220939786557246,55,../checkpoints/nBigram/hparams_search/best_hps_250827_192455_1fd07a43.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192455_1fd07a43.pt,../checkpoints/nBigram/hparams_search/hps_250827_192455_1fd07a43_hparams.json,hps_250827_192455_1fd07a43
10,0.003,0.2,0.0001,cosine_warmup,270,72900,14.75588607788086,25.132387161254883,2.691641986132618,3.2241574256200005,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192234_f8884b63.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192234_f8884b63.pt,../checkpoints/nBigram/hparams_search/hps_250827_192234_f8884b63_hparams.json,hps_250827_192234_f8884b63
10,0.03,0.4,0.0001,cosine_warmup,270,72900,15.727794647216797,44.84013748168945,2.7554650325699157,3.8031035937154125,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192541_6978c834.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192541_6978c834.pt,../checkpoints/nBigram/hparams_search/hps_250827_192541_6978c834_hparams.json,hps_250827_192541_6978c834
10,0.003,0.4,0.0001,cosine_warmup,270,72900,16.56624412536621,44.924129486083984,2.8073669676761703,3.8049750540043354,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192322_2549bbd8.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192322_2549bbd8.pt,../checkpoints/nBigram/hparams_search/hps_250827_192322_2549bbd8_hparams.json,hps_250827_192322_2549bbd8
50,0.03,0.0,0.0001,cosine_warmup,310,96100,20.78940200805664,20.297733306884766,3.0346750161343348,3.0105092346571007,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193034_b1a0d2d2.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193034_b1a0d2d2.pt,../checkpoints/nBigram/hparams_search/hps_250827_193034_b1a0d2d2_hparams.json,hps_250827_193034_b1a0d2d2
50,0.003,0.0,0.0001,cosine_warmup,310,96100,20.950838088989258,20.50221824645996,3.0421786078963904,3.0205332007727073,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192834_075fa0d6.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192834_075fa0d6.pt,../checkpoints/nBigram/hparams_search/hps_250827_192834_075fa0d6_hparams.json,hps_250827_192834_075fa0d6
50,0.03,0.2,0.0001,cosine_warmup,310,96100,21.22171401977539,34.72538757324219,3.0550248508231954,3.5474709725496627,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193114_b9de579b.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193114_b9de579b.pt,../checkpoints/nBigram/hparams_search/hps_250827_193114_b9de579b_hparams.json,hps_250827_193114_b9de579b
50,0.003,0.2,0.0001,cosine_warmup,310,96100,21.755718231201172,34.95347213745117,3.079876660905272,3.5540176985897793,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192913_49159fa0.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192913_49159fa0.pt,../checkpoints/nBigram/hparams_search/hps_250827_192913_49159fa0_hparams.json,hps_250827_192913_49159fa0
50,0.03,0.4,0.0001,cosine_warmup,310,96100,23.12141990661621,59.707149505615234,3.140759406398185,4.089451607055415,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193155_b4d21782.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193155_b4d21782.pt,../checkpoints/nBigram/hparams_search/hps_250827_193155_b4d21782_hparams.json,hps_250827_193155_b4d21782
50,0.003,0.4,0.0001,cosine_warmup,310,96100,24.891399383544922,59.95647430419922,3.2145222779332503,4.093619053359911,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192953_a20be66a.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192953_a20be66a.pt,../checkpoints/nBigram/hparams_search/hps_250827_192953_a20be66a_hparams.json,hps_250827_192953_a20be66a
200,0.03,0.0,0.0001,cosine_warmup,460,211600,31.037220001220703,28.088708877563477,3.4429394667315636,3.335367756826626,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193551_bc63915a.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193551_bc63915a.pt,../checkpoints/nBigram/hparams_search/hps_250827_193551_bc63915a_hparams.json,hps_250827_193551_bc63915a
200,0.003,0.0,0.0001,cosine_warmup,460,211600,31.276500701904297,28.808338165283203,3.4428671413672705,3.360664846007727,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193415_8e985cc2.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193415_8e985cc2.pt,../checkpoints/nBigram/hparams_search/hps_250827_193415_8e985cc2_hparams.json,hps_250827_193415_8e985cc2
200,0.03,0.2,0.0001,cosine_warmup,460,211600,31.80671501159668,49.1587028503418,3.4605151295915024,3.8950539711500785,29,../checkpoints/nBigram/hparams_search/best_hps_250827_193624_32588871.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193624_32588871.pt,../checkpoints/nBigram/hparams_search/hps_250827_193624_32588871_hparams.json,hps_250827_193624_32588871
200,0.003,0.2,0.0001,cosine_warmup,460,211600,32.76594161987305,49.63562774658203,3.4893895855881354,3.9047087746104974,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193446_4772feb8.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193446_4772feb8.pt,../checkpoints/nBigram/hparams_search/hps_250827_193446_4772feb8_hparams.json,hps_250827_193446_4772feb8
200,0.03,0.4,0.0001,cosine_warmup,460,211600,35.180580139160156,84.97783660888672,3.5604988956653894,4.442390457838929,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193639_1dffec57.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193639_1dffec57.pt,../checkpoints/nBigram/hparams_search/hps_250827_193639_1dffec57_hparams.json,hps_250827_193639_1dffec57
200,0.003,0.4,0.0001,cosine_warmup,460,211600,38.929386138916016,86.18940734863281,3.661749368007522,4.45654727373751,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193519_d489bd31.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193519_d489bd31.pt,../checkpoints/nBigram/hparams_search/hps_250827_193519_d489bd31_hparams.json,hps_250827_193519_d489bd31
10,0.0003,0.0,0.0001,cosine_warmup,270,72900,42.44211959838867,42.2254524230957,3.748141305221821,3.7430231417065976,60,../checkpoints/nBigram/hparams_search/best_hps_250827_191902_482bcdb3.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_191902_482bcdb3.pt,../checkpoints/nBigram/hparams_search/hps_250827_191902_482bcdb3_hparams.json,hps_250827_191902_482bcdb3
800,0.03,0.0,0.0001,cosine_warmup,1060,1123600,46.215152740478516,31.9905948638916,3.9335387283611554,3.4654418909601525,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193955_3afb8909.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193955_3afb8909.pt,../checkpoints/nBigram/hparams_search/hps_250827_193955_3afb8909_hparams.json,hps_250827_193955_3afb8909
800,0.03,0.2,0.0001,cosine_warmup,1060,1123600,47.779808044433594,65.67839813232422,3.876032381850337,4.184769941946608,18,../checkpoints/nBigram/hparams_search/best_hps_250827_194022_30ca6151.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194022_30ca6151.pt,../checkpoints/nBigram/hparams_search/hps_250827_194022_30ca6151_hparams.json,hps_250827_194022_30ca6151
800,0.003,0.0,0.0001,cosine_warmup,1060,1123600,47.8426399230957,35.933902740478516,3.8679172423825507,3.581681338571378,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193833_eb67e3b5.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193833_eb67e3b5.pt,../checkpoints/nBigram/hparams_search/hps_250827_193833_eb67e3b5_hparams.json,hps_250827_193833_eb67e3b5
10,0.0003,0.2,0.0001,cosine_warmup,270,72900,49.17646026611328,61.3098258972168,3.895415054057857,4.115940093372956,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192006_3393cfe0.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192006_3393cfe0.pt,../checkpoints/nBigram/hparams_search/hps_250827_192006_3393cfe0_hparams.json,hps_250827_192006_3393cfe0
10,0.0003,0.4,0.0001,cosine_warmup,270,72900,51.7917594909668,80.25806427001953,3.9472310850186494,4.38524715769584,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192057_2e574446.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192057_2e574446.pt,../checkpoints/nBigram/hparams_search/hps_250827_192057_2e574446_hparams.json,hps_250827_192057_2e574446
800,0.003,0.2,0.0001,cosine_warmup,1060,1123600,52.49210739135742,75.64917755126953,3.960662862251016,4.326106773894274,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193900_e8410ef1.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193900_e8410ef1.pt,../checkpoints/nBigram/hparams_search/hps_250827_193900_e8410ef1_hparams.json,hps_250827_193900_e8410ef1
800,0.03,0.4,0.0001,cosine_warmup,1060,1123600,53.70875549316406,127.5741958618164,3.983804779461817,4.848697974824539,57,../checkpoints/nBigram/hparams_search/best_hps_250827_194030_f9932e55.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194030_f9932e55.pt,../checkpoints/nBigram/hparams_search/hps_250827_194030_f9932e55_hparams.json,hps_250827_194030_f9932e55
1200,0.03,0.0,0.0001,cosine_warmup,1460,2131600,53.99893569946289,32.04591751098633,4.139672943377563,3.4671696726026178,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194338_927efebb.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194338_927efebb.pt,../checkpoints/nBigram/hparams_search/hps_250827_194338_927efebb_hparams.json,hps_250827_194338_927efebb
1200,0.03,0.2,0.0001,cosine_warmup,1460,2131600,55.49111557006836,69.51707458496094,4.059324182548632,4.241572207756247,26,../checkpoints/nBigram/hparams_search/best_hps_250827_194404_c1a2bf65.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194404_c1a2bf65.pt,../checkpoints/nBigram/hparams_search/hps_250827_194404_c1a2bf65_hparams.json,hps_250827_194404_c1a2bf65
1200,0.003,0.0,0.0001,cosine_warmup,1460,2131600,57.937110900878906,39.02605056762695,4.059358307147094,3.664229505944977,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194219_9f6f62a1.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194219_9f6f62a1.pt,../checkpoints/nBigram/hparams_search/hps_250827_194219_9f6f62a1_hparams.json,hps_250827_194219_9f6f62a1
1200,0.03,0.4,0.0001,cosine_warmup,1460,2131600,63.28858947753906,145.4992218017578,4.147705209289376,4.980170735476908,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194416_cee47858.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194416_cee47858.pt,../checkpoints/nBigram/hparams_search/hps_250827_194416_cee47858_hparams.json,hps_250827_194416_cee47858
1200,0.003,0.2,0.0001,cosine_warmup,1460,2131600,65.9808120727539,91.59209442138672,4.189363758338557,4.517344973978715,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194245_8fcce563.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194245_8fcce563.pt,../checkpoints/nBigram/hparams_search/hps_250827_194245_8fcce563_hparams.json,hps_250827_194245_8fcce563
800,0.003,0.4,0.0001,cosine_warmup,1060,1123600,67.68284606933594,146.11000061035156,4.214832602493245,4.984359567757635,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193927_bfd4ff7d.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193927_bfd4ff7d.pt,../checkpoints/nBigram/hparams_search/hps_250827_193927_bfd4ff7d_hparams.json,hps_250827_193927_bfd4ff7d
1200,0.003,0.4,0.0001,cosine_warmup,1460,2131600,88.65612030029297,184.3049774169922,4.484765082853913,5.216591667489204,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194312_f1583419.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194312_f1583419.pt,../checkpoints/nBigram/hparams_search/hps_250827_194312_f1583419_hparams.json,hps_250827_194312_f1583419
50,0.0003,0.0,0.0001,cosine_warmup,310,96100,88.70521545410156,89.25640869140625,4.485318691576298,4.491513270149418,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192632_28d40b51.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192632_28d40b51.pt,../checkpoints/nBigram/hparams_search/hps_250827_192632_28d40b51_hparams.json,hps_250827_192632_28d40b51
50,0.0003,0.2,0.0001,cosine_warmup,310,96100,92.70985412597656,108.84093475341797,4.529474603200631,4.689887478534393,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192714_80f734cd.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192714_80f734cd.pt,../checkpoints/nBigram/hparams_search/hps_250827_192714_80f734cd_hparams.json,hps_250827_192714_80f734cd
50,0.0003,0.4,0.0001,cosine_warmup,310,96100,101.14158630371094,145.1602783203125,4.616521414634995,4.977838709148264,60,../checkpoints/nBigram/hparams_search/best_hps_250827_192754_4a62c215.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_192754_4a62c215.pt,../checkpoints/nBigram/hparams_search/hps_250827_192754_4a62c215_hparams.json,hps_250827_192754_4a62c215
200,0.0003,0.2,0.0001,cosine_warmup,460,211600,206.8952178955078,233.87945556640625,5.332212282087646,5.4548056352350285,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193309_1fcaa2c4.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193309_1fcaa2c4.pt,../checkpoints/nBigram/hparams_search/hps_250827_193309_1fcaa2c4_hparams.json,hps_250827_193309_1fcaa2c4
200,0.0003,0.0,0.0001,cosine_warmup,460,211600,213.05784606933594,209.5072784423828,5.361563680531366,5.344758415421473,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193237_852cf4c7.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193237_852cf4c7.pt,../checkpoints/nBigram/hparams_search/hps_250827_193237_852cf4c7_hparams.json,hps_250827_193237_852cf4c7
200,0.0003,0.4,0.0001,cosine_warmup,460,211600,235.97189331054688,320.0815124511719,5.46371265581459,5.7685755367936755,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193342_e01ae95f.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193342_e01ae95f.pt,../checkpoints/nBigram/hparams_search/hps_250827_193342_e01ae95f_hparams.json,hps_250827_193342_e01ae95f
800,0.0003,0.0,0.0001,cosine_warmup,1060,1123600,605.63134765625,583.677734375,6.406271681389285,6.369349179639341,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193713_3bb7fa01.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193713_3bb7fa01.pt,../checkpoints/nBigram/hparams_search/hps_250827_193713_3bb7fa01_hparams.json,hps_250827_193713_3bb7fa01
800,0.0003,0.4,0.0001,cosine_warmup,1060,1123600,658.044189453125,894.3628540039062,6.4892719667654575,6.796111792714569,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193806_ec9cceeb.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193806_ec9cceeb.pt,../checkpoints/nBigram/hparams_search/hps_250827_193806_ec9cceeb_hparams.json,hps_250827_193806_ec9cceeb
800,0.0003,0.2,0.0001,cosine_warmup,1060,1123600,687.6722412109375,746.1593627929688,6.533312472836901,6.614939121767973,60,../checkpoints/nBigram/hparams_search/best_hps_250827_193739_14017c6d.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_193739_14017c6d.pt,../checkpoints/nBigram/hparams_search/hps_250827_193739_14017c6d_hparams.json,hps_250827_193739_14017c6d
1200,0.0003,0.2,0.0001,cosine_warmup,1460,2131600,990.6536865234375,1060.8365478515625,6.898364878657213,6.966813280245486,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194124_d1ca2e22.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194124_d1ca2e22.pt,../checkpoints/nBigram/hparams_search/hps_250827_194124_d1ca2e22_hparams.json,hps_250827_194124_d1ca2e22
1200,0.0003,0.4,0.0001,cosine_warmup,1460,2131600,1018.0025024414062,1359.3011474609375,6.9255974887093705,7.214725943413532,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194151_96f50032.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194151_96f50032.pt,../checkpoints/nBigram/hparams_search/hps_250827_194151_96f50032_hparams.json,hps_250827_194151_96f50032
1200,0.0003,0.0,0.0001,cosine_warmup,1460,2131600,1110.094970703125,1047.769287109375,7.012200910245792,6.954418664157711,60,../checkpoints/nBigram/hparams_search/best_hps_250827_194057_13b29257.pt,../checkpoints/nBigram/hparams_search/last_hps_250827_194057_13b29257.pt,../checkpoints/nBigram/hparams_search/hps_250827_194057_13b29257_hparams.json,hps_250827_194057_13b29257
