merges,lr,dropout,vocab_size,weight_decay,scheduler,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
10,0.03,0.0,270,0.0001,cosine_warmup,13.992118835449219,14.030291557312012,2.6384943298504138,2.6412185478118704,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152742_4eb023a2.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152742_4eb023a2.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152742_4eb023a2_hparams.json,hps_250824_152742_4eb023a2
10,0.003,0.0,270,0.0001,cosine_warmup,14.045205116271973,14.089523315429688,2.6422809765123905,2.6454314769642733,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152458_e0afe095.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152458_e0afe095.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152458_e0afe095_hparams.json,hps_250824_152458_e0afe095
10,0.03,0.3,270,0.0001,cosine_warmup,14.76594066619873,33.43380355834961,2.692323297061638,3.5095675530983352,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152843_29833205.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152843_29833205.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152843_29833205_hparams.json,hps_250824_152843_29833205
10,0.003,0.3,270,0.0001,cosine_warmup,15.187371253967285,33.50790023803711,2.7204643264914266,3.5117812090163163,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152600_d58c34f6.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152600_d58c34f6.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152600_d58c34f6_hparams.json,hps_250824_152600_d58c34f6
200,0.03,0.0,460,0.0001,cosine_warmup,29.297115325927734,27.97232437133789,3.3818294393035755,3.3312155242324,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153548_e86f729e.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153548_e86f729e.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153548_e86f729e_hparams.json,hps_250824_153548_e86f729e
200,0.003,0.0,460,0.0001,cosine_warmup,29.611289978027344,28.655317306518555,3.3881556440741467,3.3553390600943493,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153310_6bf9922b.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153310_6bf9922b.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153310_6bf9922b_hparams.json,hps_250824_153310_6bf9922b
200,0.03,0.3,460,0.0001,cosine_warmup,31.511337280273438,64.01242065429688,3.450350757285114,4.15907727091555,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153645_2fc1eb9b.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153645_2fc1eb9b.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153645_2fc1eb9b_hparams.json,hps_250824_153645_2fc1eb9b
200,0.003,0.3,460,0.0001,cosine_warmup,33.50369644165039,65.08614349365234,3.5116557249259124,4.175711601390623,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153408_3ddd50b3.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153408_3ddd50b3.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153408_3ddd50b3_hparams.json,hps_250824_153408_3ddd50b3
800,0.03,0.0,1060,0.0001,cosine_warmup,42.64450454711914,31.805927276611328,3.8251167605514316,3.4596525521113954,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_155428_3e82a3a5.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_155428_3e82a3a5.pt,checkpoints/neural_bigram/hparams_search/hps_250824_155428_3e82a3a5_hparams.json,hps_250824_155428_3e82a3a5
10,0.0003,0.0,270,0.0001,cosine_warmup,43.949920654296875,43.926483154296875,3.7830508117881148,3.782517426285737,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152207_4c77b01a.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152207_4c77b01a.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152207_4c77b01a_hparams.json,hps_250824_152207_4c77b01a
800,0.003,0.0,1060,0.0001,cosine_warmup,44.31718444824219,35.48753356933594,3.791372633910113,3.569181519932739,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_154627_d48167ee.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_154627_d48167ee.pt,checkpoints/neural_bigram/hparams_search/hps_250824_154627_d48167ee_hparams.json,hps_250824_154627_d48167ee
800,0.03,0.3,1060,0.0001,cosine_warmup,46.71166229248047,90.84847259521484,3.8441716249938795,4.509192962521207,38,checkpoints/neural_bigram/hparams_search/best_hps_250824_155557_bcea798a.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_155557_bcea798a.pt,checkpoints/neural_bigram/hparams_search/hps_250824_155557_bcea798a_hparams.json,hps_250824_155557_bcea798a
10,0.0003,0.3,270,0.0001,cosine_warmup,47.379859924316406,66.1189193725586,3.8581972058015106,4.191454679590971,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_152314_1eb99736.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_152314_1eb99736.pt,checkpoints/neural_bigram/hparams_search/hps_250824_152314_1eb99736_hparams.json,hps_250824_152314_1eb99736
800,0.003,0.3,1060,0.0001,cosine_warmup,54.64586639404297,104.3514633178711,4.000873459414851,4.647764641271632,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_154756_a8bd7c9f.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_154756_a8bd7c9f.pt,checkpoints/neural_bigram/hparams_search/hps_250824_154756_a8bd7c9f_hparams.json,hps_250824_154756_a8bd7c9f
200,0.0003,0.0,460,0.0001,cosine_warmup,184.34197998046875,182.60179138183594,5.216792350207572,5.207307876320317,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153027_4e383b52.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153027_4e383b52.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153027_4e383b52_hparams.json,hps_250824_153027_4e383b52
200,0.0003,0.3,460,0.0001,cosine_warmup,220.28103637695312,272.6153259277344,5.394904215098459,5.6080619031821834,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153126_693f0cdc.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153126_693f0cdc.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153126_693f0cdc_hparams.json,hps_250824_153126_693f0cdc
800,0.0003,0.0,1060,0.0001,cosine_warmup,685.1578369140625,666.20654296875,6.529649282896419,6.501599701128178,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153828_23644d04.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153828_23644d04.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153828_23644d04_hparams.json,hps_250824_153828_23644d04
800,0.0003,0.3,1060,0.0001,cosine_warmup,689.8490600585938,819.8134765625,6.536472830599729,6.709076755818083,60,checkpoints/neural_bigram/hparams_search/best_hps_250824_153955_b6076048.pt,checkpoints/neural_bigram/hparams_search/last_hps_250824_153955_b6076048.pt,checkpoints/neural_bigram/hparams_search/hps_250824_153955_b6076048_hparams.json,hps_250824_153955_b6076048
